,0,1,2,3
0,2emb_rnn_atn,"{'batch_size': 3429.0, 'dense_drop': 0.10269412118902159, 'emb_dim': 82.0, 'epochs': 1.3491403349749964, 'input_drop': 0.24200157356675767, 'layers': 4.0, 'nodes': 97.0, 'recurrent_drop': 0.2706762298734538, 'units': 36.0}",0.014513268993130213,4.033201200237547e-05
1,2emb_rnn,"{'batch_size': 4843.0, 'dense_drop': 0.15186660448563097, 'emb_dim': 26.0, 'epochs': 2.992765070702552, 'input_drop': 0.3256213637112979, 'layers': 4.0, 'nodes': 99.0, 'recurrent_drop': 0.11659664639367476, 'units': 86.0}",0.014535448406595854,0.0001507012546007894
2,2emb_cnn_atn,"{'batch_size': 2685.0, 'cov_drop': 0.18956550140249898, 'dense_drop': 0.11323198833744624, 'emb_dim': 42.0, 'epochs': 2.710264650023788, 'filters': 30.0, 'input_drop': 0.20104006622551446, 'kernel_size': 16.0, 'layers': 4.0, 'nodes': 44.0}",0.013639959392860003,3.401037997988354e-05
3,2emb_cnn,"{'batch_size': 140.0, 'cov_drop': 0.30496838300055473, 'dense_drop': 0.12536298678760982, 'emb_dim': 80.0, 'epochs': 2.36278973200983, 'filters': 33.0, 'input_drop': 0.26303195891466863, 'kernel_size': 12.0, 'layers': 3.0, 'nodes': 48.0}",0.013629685471646122,0.0001048876292200777
4,2emb_fnn_flat,"{'batch_size': 3430.0, 'dense_drop': 0.10436384783921072, 'emb_dim': 60.0, 'epochs': 1.1650374570106998, 'layers': 3.0, 'nodes': 83.0}",0.01363066664244951,6.988002771030503e-05
5,2emb_fnn_max,"{'batch_size': 2780.0, 'dense_drop': 0.11699051039226252, 'emb_dim': 28.0, 'epochs': 1.802089716375816, 'layers': 3.0, 'nodes': 79.0}",0.018189568272674803,3.2394440908681443e-06
6,2seq_fnn_max,"{'batch_size': 3406.0, 'dense_drop': 0.1006399833069365, 'epochs': 1.1463017348481155, 'layers': 5.0, 'nodes': 60.0}",0.014268511217836349,4.177850470980929e-05
7,2seq_fnn_flat,"{'batch_size': 3877.0, 'dense_drop': 0.10293453726575513, 'epochs': 2.098215493281639, 'layers': 4.0, 'nodes': 35.0}",0.01402282990711432,6.661267305010551e-06
8,2seq_ridge,{'alpha': -2.1816734444049866},0.02237999424870915,4.4025276536089666e-07
9,2emb_ridge,{'alpha': -4.951690402427124},0.024337000573308443,7.825843776829737e-07
10,2control_ridge,{'alpha': 0.34976587588447483},0.025460093487911367,2.1859852522609272e-07
